,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
0,13.8% (2015),Ten Minutes by Tractor,Screw Cap,Australia,2015*,Wallis Pinot Noir,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 62 of 102 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,8.2 (2015),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
1,14.0% (2011),Riddoch,Screw Cap,Australia,2011*,Cabernet Sauvignon and Shiraz Twin Pack,$30.39 in any six,$90.25 per case of 3,$31.99 per pack,Coonawarra,750mL,8.3 (2011),South Australia,,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
2,14.00%,Dalwhinnie,Cork,Australia,1997,Moonambel Shiraz 1997,$119.99 per bottle,Ranked 3 of 20 Shiraz from Australia,,Pyrenees,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,Excellent,,,
3,,Brown Brothers,Screw Cap,Australia,,Red Wine Discovery Pack,$17.90 per pack,,,,375mL,,,,Full Bodied,Dry,,,,,
4,13.5% (2015),The Winesmiths,Cask Closure,Australia,2015*,Tempranillo Cask 2L,$17.99 in any six,$89.40 per case of 6,$14.90 each,,2L,21.0 (2015),South Australia,Tempranillo,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
5,15.00%,Kay Brothers,Screw Cap,Australia,,Hillside Shiraz 2003,$45.99 per bottle,,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
6,14.00%,Branson,Cork,Australia,,Coach House Block Shiraz 2002,$75.99 per bottle,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
7,13.50%,Shaw & Smith,Screw Cap,Australia,2012,Shiraz 2012,$59.99 per bottle,$342.00 per case of 6,$57.00 in any six,Adelaide Hills,750mL,8,South Australia,,Full Bodied,Dry,"Awards: 1 Gold Medal, 3 Trophy - International Wine Challenge 2014, International Wine Challenge '13: Best SA Shiraz, Best Australian Shiraz and Best Australian Red.",,Ranked 6 of 28 Shiraz from Adelaide Hills,,
8,14.50%,Henschke,Screw Cap,Australia,2008,Hill of Grace Shiraz 2008,$879.00 per bottle,Ranked 2 of 124 Shiraz from Barossa,,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,,,
9,15.0% (2013),Cat Amongst The Pigeons,Cask Closure,Australia,2013*,Shiraz 1.5L Magnum,$14.30 in any six,$85.80 per case of 6,$14.99 each,Barossa Valley,1.5L,18.0 (2013),South Australia,Shiraz,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,
10,14.7% (2010),Charles Sturt,Screw Cap,Australia,2010*,Reserve Cabernet Sauvignon,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,,750mL,8.7 (2010),New South Wales,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,
11,13.8% (2010),Winburndale,Screw Cap,Australia,2010*,Fontana Cabernet Sauvignon,$33.25 in any six,$399.00 per case of 12,$34.99 per bottle,,750mL,8.2 (2010),New South Wales,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
12,13.50%,Rockford,Cork,Australia,,Basket Press Shiraz 1989,$259.99 per bottle,,,Barossa Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
13,13.5% (2010),Redbank,Screw Cap,Australia,2010,The Long Paddock Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8 (2010),Victoria,Shiraz,Full Bodied,Dry,,,,,
14,15.00%,Henschke,Screw Cap,Australia,,Tappa Pass Shiraz 2002,,,,Eden Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
15,13.50%,Lindeman's,Cork,Australia,1997,Coonawarra Trio Limestone Ridge Shiraz Cabernet 1997,$49.99 per bottle,"Awards: 2 Trophies - Press Club of Sydney Trophy 1999, The Arthur Kelman Perpetual Trophy Sydney Royal Wine Show 1999. Gold -Sydney Royal Wine Show 1999.",,Coonawarra,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,Excellent,,,
16,14.5% (2008),Hollick,Cork,Australia,2008*,Neilson's Block Merlot,$46.55 in any six,$279.30 per case of 6,$48.99 per bottle,Coonawarra,750mL,8.6 (2008),South Australia,Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 18 of 28 Merlot from South Australia,,
17,12.0% (2016),Chain Of Ponds,Screw Cap,Australia,2016*,Novello Rosé,$13.30 in any six,$148.20 per case of 12,$13.99 per bottle,Adelaide Hills,750mL,7.1 (2016),South Australia,Red Blend,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
18,14.0% (2016),Chain Of Ponds,Screw Cap,Australia,2016,Novello Cabernet Merlot,$12.35 in any six,$148.20 per case of 12,$12.99 per bottle,Adelaide Hills,750mL,8.3 (2016),South Australia,Cabernet Merlot,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
19,12.5% (2009),Moondah Brook,Screw Cap,Australia,2009*,Cabernet Rosé,$11.39 in any six,$67.65 per case of 6,$11.99 per bottle,,750mL,7.4 (2009),Western Australia,Cabernet Sauvignon,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
20,14.5% (2008),Hanging Rock,Cork,Australia,2008,Shiraz,$39.90 in any six,$239.40 per case of 6,$39.90 per bottle,Heathcote,750mL,8.6 (2008),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
21,13.0% (2008),Clos Pierre,Screw Cap,Australia,2008*,Reserve Pinot Noir,$24.90 in any six,$149.40 per case of 6,$24.90 per bottle,Yarra Valley,750mL,7.7 (2008),Victoria,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
