,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
0,7%,Warburn,Screw Cap,Australia,2017*,Rumours Dolce Rosso,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",South East Australia,750mL,4.2,New South Wales,Red Blend,Sweet,,,,,,
1,14.5%,Brown Brothers,Screw Cap,Australia,2013,Patricia Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Shiraz,Dry,Ranked 9 of 26 Shiraz from North East Victoria,Full Bodied,,,,
2,13.5%,Warburn,Screw Cap,Australia,2017*,Premium Reserve Cabernet Sauvignon,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
3,14%,Climbing,Screw Cap,Australia,2016*,Shiraz,$16.99 per bottle,$97.20 per case of 6,$16.20 in any six,"Awards: Double Gold - China Wine and Spirits Awards 2018, Gold - AsiaImport News (AIN) Wine Challenge 2018, Silver - Mundus Vini Tranche 6 2018, Gold Medal - International Wine & Spirit Competition 2015
Double Gold	China Wine and Spirits Awards Best Value
Silver	Mundus Vini Tranche 6
Gold	AsiaImport News (AIN) Wine Challenge
Bronze	International Wine Challenge - IWC Tranche 2 89 Points
Bronze	Decanter World Wine Awards
Silver	International Cool Climate Wine Show
Bronze	Cairns Wine Show
92 Points	James Halliday
92 Points	Huon Hooke The Real Review
92 Points	James Halliday Wine Companion
Silver - 93 points	Royal Sydney Wine Show",Orange,750mL,8.3,New South Wales,Shiraz,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Ranked 5 of 21 Shiraz from Central Ranges,,,
4,14%,Yarra Ridge,Screw Cap,Australia,2018*,Pinot Noir,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.3,Victoria,Pinot Noir,Dry,,Light Bodied,,,,
5,13.5%,Knappstein,Screw Cap,Australia,2016*,Cabernet Sauvignon,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.0,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
6,13.5,Monterra,Screw Cap,Australia,2018*,Rosé 2018,$23.99 per bottle,$143.94 per case of 6,Awards: Gold Medal China Wine and Spirits Awards 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Fleurieu,750mL,8,South Australia,Sangiovese,Dry,,Light Bodied,,,,
7,14.80%,Heartland,Screw Cap,Australia,2012*,One Cabernet Shiraz 2012,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.8,South Australia,Cabernet Sauvignon Shiraz,Dry,Ranked 5 of 21 Cabernet Sauvignon from Fleurieu,Full Bodied,,,,
8,14.5%,Chapel Hill,Screw Cap,Australia,2017,McLaren Vale Bush Vine Grenache,$26.90 in any six,$161.40 per case of 6,$28.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Grenache,Dry,Ranked 24 of 32 Grenache from McLaren Vale,Medium Bodied,,true,,
9,14.0% (2015),Pondalowie,Screw Cap,Australia,2015*,Shiraz,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bendigo,750mL,8.3 (2015),Victoria,Shiraz,Dry,,Full Bodied,,,,
10,13.5%,Jim Barry,Cork,Australia,2013*,Pb Shiraz Cabernet,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"Awards: 3 Gold - Perth Royal Wine Show 2008, Clare Valley Wine Show 2009, Clare Valley Wine Show 2010",Clare Valley,750mL,8.0,South Australia,Shiraz Cabernet,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,,,,
11,13.50%,Savaterre,Screw Cap,Australia,2013*,Shiraz,$69.40 in any six,$416.40 per case of 6,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Beechworth,750mL,8,Victoria,Shiraz,Dry,Ranked 20 of 26 Shiraz from North East Victoria,Full Bodied,,,,
12,12.8% (2011),Wantirna Estate,Cork,Australia,2011*,Amelia Cabernet Sauvignon Merlot,$69.40 in any six,$832.80 per case of 12,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.6 (2011),Victoria,Cabernet Merlot,Dry,Ranked 15 of 102 Cabernet Sauvignon from Australia,Medium Bodied,,,Excellent,
13,,,,,,Unknown,,,,,,,,,,,,,,,,
14,14.1%,d'Arenberg,Screw Cap,Australia,2011*,The Ironstone Pressings,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3,South Australia,Grenache Blend,Dry,Ranked 8 of 15 Grenache from McLaren Vale,Medium Bodied,,,,
15,14.50%,Hardys,Screw Cap,Australia,,Tintara Shiraz 2012,$33.20 in any six,$199.80 per case of 6,$34.99 per bottle,,McLaren Vale,750mL,8.3,South Australia,Shiraz,Dry,,Full Bodied,,,,
16,14,Palmarium,Screw Cap,Australia,2010,Exemplar Heathcote Shiraz 2010,$140.00 per bottle,$750.00 per case of 6,Awards: Gold Medal - China Wine Spirit Awards 2012,Ranked 15 of 40 Shiraz from Heathcote,Heathcote,750mL,8,Victoria,Shiraz,Shiraz,,Full Bodied,,,,
17,14.5%,Gapsted,Screw Cap,Australia,2017*,Valley Selection Cabernet Merlot,$16.20 in any six,$91.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Cabernet Merlot,Dry,,Medium Bodied,,,,
18,12.5\t,Five Friends,Screw Cap,Australia,,Rose 2018,$12.00 per bottle,$69.00 per case of 6,,,"Central Ranges, NSW",750mL,7.4,,Rose,,,Light Bodied,,,,
19,,Wines By Design,,Australia,,Wines By Design Hemera Estate Shiraz 2015 Gift Set,$69.00 each,,,,,750mL,,,Glassware,,,,,,,
20,14.20%,Evans & Tate,Screw Cap,Australia,,Metricup Road Cabernet Merlot 2010,$23.99 per bottle,$136.74 per case of 6,$22.79 in any six,Awards: Gold Medal - Royal Melbourne Wine Show (RASV),Margaret River,750mL,8.4,Western Australia,Cabernet Merlot,Dry,,Medium Bodied,,,,
21,13.5%,Katnook Estate,Cork,Australia,2016*,Founders Block Shiraz,$17.10 in any six,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 19 Shiraz from Coonawarra,Coonawarra,750mL,8.0,South Australia,Shiraz,Dry,,Full Bodied,,,,
22,14%,Blue Pyrenees,Cork,Australia,2016,Estate Red,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"Awards: Trophy - Best Red Blend at Six Nations Wine Challenge 2017, Top Gold - Rutherglen Wine Show  2016, Gold Medal & Trophy – Best Claret Style - Australian Cool Climate Wine Show 2015, Silver Medal - Royal Queensland Wine Show Brisbane 2016 & Cowra Wine Show",Pyrenees,750mL,8.3,Victoria,Red Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
23,14.5%,St Huberts,Screw Cap,Australia,2017*,The Stag Heathcote Shiraz,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,Awards: Gold Trophy - Keafer Trophy for Best Shiraz,Heathcote,750mL,8.6,Victoria,Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
24,14.5%,Tahbilk,Screw Cap,Australia,2015*,Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Goulburn Valley,750mL,8.6,Victoria,Shiraz,Dry,,Full Bodied,,,,
25,14.5%,Murray Street Vineyards,Screw Cap,Australia,2016*,Red Label Shiraz,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,,Full Bodied,,,,
26,14.0%,Schwarz,Screw Cap,Australia,2015*,Thiele Road Grenache,$32.30 in any six,$192.00 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Grenache,Dry,Ranked 14 of 28 Grenache from Barossa Valley,Medium Bodied,,,,
27,13.9% (2016),Mount MacLeod,Screw Cap,Australia,2016*,Pinot Noir,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,8.2 (2016),Victoria,Pinot Noir,Dry,,Light Bodied,,,,
28,13.4% (2014),McWilliam's,Screw Cap,Australia,2014*,Appellation Hilltops Shiraz,$13.30 in any six,$79.80 per case of 6,$14.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,8 (2014),New South Wales,Shiraz,Dry,Ranked 11 of 15 Shiraz from Hilltops,Full Bodied,,,,
29,14%,Bannockburn,Cork,Australia,2015*,Shiraz,$42.75 in any six,$256.50 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8.3,Victoria,Shiraz,Dry,,Full Bodied,,,,
30,13%,Shadowfax,Screw Cap,Australia,2013*,Pinot Noir,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 160 of 193 Pinot Noir from Port Phillip,,Macedon Ranges,750mL,7.7,Victoria,Pinot Noir,Dry,,Light Bodied,,,,
31,14.5%,Deep Woods,Screw Cap,Australia,2016*,Cabernet Merlot,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,Awards: Trophy – Best Cabernet Blend - Royal Queensland Wine Show 2016 & Margaret River Wine Show 2016,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon Merlot,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,,,,
32,13.0,Some Young Punks,Screw Cap,Australia,,The Squid's Fist Sangiovese Shiraz 2017,$21.99 per bottle,$131.94 per case of 6,,,Clare Valley,750ml,7.7,South Australia,Sangiovese Shiraz,,,,,,,
33,14.0% (2012),Kennedy,Screw Cap,Australia,2012*,Shiraz,$21.85 in any six,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Heathcote,750mL,8.3 (2012),Victoria,Shiraz,Dry,,Full Bodied,,,,
34,14.0%,The Doctor,Screw Cap,Australia,2015*,Durif,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,Victoria,Durif,Dry,,,,,,
35,13.50%,Off The Grid,Crown Seal,Australia,2016*,Montepulciano 500mL,$6.55 in any six,$78.60 per case of 12,$6.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,500mL,5.3,South Australia,Montepulciano,Dry,,,,,,
36,13.90%,Giaconda,Cork,Australia,2001,Warner Shiraz 2001,$129.99 per bottle,,,,High Country,750mL,8.2,Victoria,Shiraz,Dry,,Full Bodied,,,Excellent,
37,13.50%,Mount Langi Ghiran,Screw Cap,Australia,,Langi Shiraz 2010,$123.50 in any six,$741.00 per case of 6,$129.99 per bottle,Ranked 1 of 27 Shiraz from Western Victoria,Grampians,750mL,8,Victoria,Shiraz,Dry,,Full Bodied,,,,
38,14.50%,Torbreck,Cork,Australia,2005,Descendant Shiraz Viognier 2005,$129.99 per bottle,Ranked 14 of 24 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.6,South Australia,Shiraz Viognier,Dry,,,,,Excellent,
39,14%,The Stag,Screw Cap,Australia,2017*,The Stag Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,Victoria,Shiraz,Dry,Ranked 22 of 41 Shiraz from Victoria,Full Bodied,,,,
40,8.5%,Yellowglen,Cork,Australia,,Sunset Spritz Spritzed Rosé 750mL,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,,,750mL,5,,Spritzed Rose,,,,,,,
41,13.5%,East Side West,,Australia,2017,South Australian Merlot,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,South Australia,Merlot,,,,,,,
42,13% (2015),Charlottes,Screw Cap,Australia,2015*,Shiraz,$7.00 in any six,$84.00 per case of 12,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2015),,Shiraz,Dry,,Full Bodied,,,,
43,14.0% (2014),MWC,Screw Cap,Australia,2014*,Shiraz Mourvedre,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Central Victoria,750mL,8.3 (2014),Victoria,Shiraz Mouvedre,Dry,,,,,,
44,14.5% (2016),Nugan Estate,Screw Cap,Australia,2016*,Shiraz,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,Awards: 2016 James Halliday Australian Wine Companion - 5 Star Winery (current vintage) 2016 James Halliday Australian Wine Companion - 92 Points (2016 vintage) 2014 Stephen Tanzer International Wine Cellar - 91 points (2014 vintage) 2016 James Suckling USA (form,McLaren Vale,750mL,8.6 (2016),South Australia,Shiraz,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Ranked 33 of 107 Shiraz from McLaren Vale,,,
45,14%,Hollick,Screw Cap,Australia,2016,Stock Route Shiraz Cabernet Sauvignon,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Shiraz Cabernet,Dry,,Full Bodied,,,,
46,14.50%,Jasper Hill,Cork,Australia,2002,Georgia's Paddock Shiraz 2002,$124.99 per bottle,,,,Heathcote,750mL,8.6,Victoria,Shiraz,Dry,,Full Bodied,,,Outstanding,
